time, Quad.IMU.AX
2.365011,-0.785719
2.370011,0.673930
2.375010,0.167995
2.380010,-0.109238
2.385010,-1.275541
2.390009,-0.407103
2.395009,-0.008368
2.400008,0.081495
2.405008,-0.067373
2.410008,-0.295264
2.415007,-0.123725
2.420007,0.538570
2.425007,0.323754
2.430006,0.593026
2.435006,-0.377586
2.440006,-0.168446
2.445005,0.213484
2.450005,-0.074831
2.455004,0.679964
2.460004,0.437513
2.465004,-0.900907
2.470003,-0.627780
2.475003,-0.396207
2.480003,0.223785
2.485002,0.107056
2.490002,-0.912066
2.495002,-0.216095
2.500001,0.036702
2.505001,0.255572
2.510000,-0.036282
2.515000,-0.429543
2.520000,-0.048407
2.524999,-0.509879
2.529999,0.196996
2.534999,-0.660663
2.539998,0.068142
2.544998,0.058937
2.549998,-0.300770
2.554997,-0.329964
2.559997,-0.160840
2.564996,-0.141933
2.569996,-0.971214
2.574996,0.126740
2.579995,-0.294976
2.584995,0.302124
2.589995,0.451200
2.594994,-0.815171
2.599994,0.523428
2.604994,0.771904
2.609993,0.532224
2.614993,1.281690
2.619992,-0.131443
2.624992,0.846853
2.629992,-0.341881
2.634991,-0.548572
2.639991,0.886108
2.644991,0.648571
2.649990,0.023604
2.654990,-0.178616
2.659990,0.390285
2.664989,0.307848
2.669989,-0.102187
2.674989,0.741392
2.679988,-0.708596
2.684988,-0.648217
2.689987,0.308458
2.694987,-0.566991
2.699987,-0.015912
2.704986,-0.568541
2.709986,0.281498
2.714986,-0.755457
2.719985,0.430042
2.724985,-0.343515
2.729985,0.602426
2.734984,0.419648
2.739984,-0.084465
2.744983,-0.569055
2.749983,-0.070755
2.754983,0.409381
2.759982,-0.587518
2.764982,0.026729
2.769982,0.201473
2.774981,0.254676
2.779981,0.616350
2.784981,0.479169
2.789980,-0.220422
2.794980,-0.128427
2.799979,0.014248
2.804979,-0.198433
2.809979,-0.390801
2.814978,0.045071
2.819978,0.141385
2.824978,-0.508814
2.829977,0.746363
2.834977,0.246420
2.839977,0.558733
2.844976,0.813243
2.849976,-0.439270
2.854975,-0.132355
2.859975,-0.038008
2.864975,-0.912888
2.869974,0.726970
2.874974,-0.469468
2.879974,0.179167
2.884973,0.349187
2.889973,-0.264925
2.894973,-0.170439
2.899972,0.571774
2.904972,-0.032439
2.909971,0.773544
2.914971,0.259264
2.919971,0.276363
2.924970,0.187920
2.929970,-0.601206
2.934970,-0.198281
2.939969,-0.050022
2.944969,-0.277610
2.949969,0.208850
2.954968,0.215570
2.959968,-0.836385
2.964967,0.185930
2.969967,0.030028
2.974967,0.483991
2.979966,-0.246991
2.984966,-0.436132
2.989966,-0.142309
2.994965,0.989131
2.999965,-1.205523
3.004965,0.346115
3.009964,0.834008
3.014964,-0.287818
3.019964,-0.352935
3.024963,0.245554
3.029963,-0.241020
3.034962,-0.441887
3.039962,0.095020
3.044962,0.042907
3.049961,0.586930
3.054961,-0.282107
3.059961,-0.450600
3.064960,-0.060274
3.069960,0.292470
3.074960,0.147449
3.079959,-0.557256
3.084959,0.423213
3.089958,-0.017367
3.094958,-1.003075
3.099958,-0.466507
3.104957,-0.338593
3.109957,0.050415
3.114957,0.073834
3.119956,-0.805884
3.124956,0.081826
3.129956,0.914830
3.134955,0.992772
3.139955,-0.043924
3.144954,-0.715718
3.149954,-1.049999
3.154954,0.477974
3.159953,-0.004406
3.164953,-0.229198
3.169953,-0.502694
3.174952,0.052532
3.179952,0.207986
3.184952,-0.663168
3.189951,-0.295581
3.194951,0.841716
3.199950,-0.261728
3.204950,-0.411172
3.209950,0.697155
3.214949,0.339996
3.219949,-0.573097
3.224949,0.245346
3.229948,0.196378
3.234948,0.475517
3.239948,-0.463488
3.244947,-0.006552
3.249947,0.222390
3.254946,-0.152345
3.259946,0.015419
3.264946,-0.665620
3.269945,-0.526207
3.274945,0.634209
3.279945,-0.884792
3.284944,-0.244035
3.289944,-0.136880
3.294944,-0.249276
3.299943,-0.290232
3.304943,-0.236519
3.309942,0.048846
3.314942,0.719860
3.319942,-1.010565
3.324941,0.006218
3.329941,0.791610
3.334941,-0.206969
3.339940,-0.594133
3.344940,0.034607
3.349940,-0.206527
3.354939,-0.452197
3.359939,-0.764222
3.364938,-0.091692
3.369938,-0.550019
3.374938,0.283961
3.379937,-0.020052
3.384937,-0.387738
3.389937,-1.003296
3.394936,-0.419919
3.399936,-0.712457
3.404936,0.712274
3.409935,0.057656
3.414935,0.028967
3.419935,0.345384
3.424934,0.703671
3.429934,-0.007848
3.434933,0.151590
3.439933,1.388315
3.444933,-0.154498
3.449932,-0.049403
3.454932,-0.169705
3.459932,0.482604
3.464931,-0.533031
3.469931,-0.350704
3.474931,0.947692
3.479930,-0.531536
3.484930,0.064173
3.489929,-0.297132
3.494929,0.114640
3.499929,0.232207
3.504928,-0.591767
3.509928,-0.575691
3.514928,-0.873289
3.519927,-0.666998
3.524927,0.594296
3.529927,-0.566149
3.534926,-0.285549
3.539926,-0.849347
3.544925,-0.335616
3.549925,-0.107863
3.554925,0.255662
3.559924,0.251803
3.564924,0.110830
3.569924,-0.225236
3.574923,-0.003929
3.579923,-0.596602
3.584923,0.653913
3.589922,-0.741737
3.594922,0.057645
3.599921,0.459128
3.604921,0.346708
3.609921,0.815902
3.614920,0.175598
3.619920,0.074017
3.624920,-0.617520
3.629919,-1.122966
3.634919,0.873805
3.639919,0.697272
3.644918,0.147884
3.649918,-0.809853
3.654917,0.118435
3.659917,0.171263
3.664917,0.721567
3.669916,-0.290927
3.674916,0.075845
3.679916,-0.205031
3.684915,0.424736
3.689915,-0.624925
3.694915,0.091422
3.699914,-0.952397
3.704914,-1.079941
3.709913,1.388987
3.714913,0.665914
3.719913,-0.324261
3.724912,0.244673
3.729912,0.025774
3.734912,0.134460
3.739911,-0.565059
3.744911,0.416037
3.749911,0.515167
3.754910,0.314693
3.759910,-0.324489
3.764910,0.491775
3.769909,-0.040483
3.774909,0.488630
